V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21
0,61570;0,04659;0,0584;0,12229;0,1355;0,42936;0,43018;0,42356;0,44371;0,46105;0,38704;0,66483;0,58167;0,46069;0,46849;0,57534;0,57617;0,60673;0,60117;0;0
0,60269;0,04517;0,0466;0,12485;0,1223;0,37934;0,42936;0,36673;0,42356;0,46446;0,46105;0,69831;0,66483;0,44314;0,46069;0,57565;0,57534;0,60700;0,60673;0;0
0,61749;0,04798;0,0452;0,13830;0,1248;0,43905;0,37934;0,44253;0,36673;0,51273;0,46446;0,73900;0,69831;0,47823;0,44314;0,57747;0,57565;0,60726;0,60700;0;0
0,64843;0,12156;0,0480;0,17116;0,1383;0,48585;0,43905;0,51130;0,44253;0,57121;0,51273;0,78475;0,73900;0,51722;0,47823;0,58168;0,57747;0,61740;0,60726;0;0
0,66413;0,17233;0,1216;0,20658;0,1712;0,49067;0,48585;0,51543;0,51130;0,52762;0,57121;0,69426;0,78475;0,55296;0,51722;0,58706;0,58168;0,62969;0,61740;0;0
0,61794;0,17019;0,1723;0,21099;0,2066;0,43098;0,49067;0,50835;0,51543;0,54677;0,52762;0,77566;0,69426;0,50552;0,55296;0,58791;0,58706;0,63013;0,62969;0;0
0,55605;0,28976;0,1702;0,20455;0,2110;0,29302;0,43098;0,36318;0,50835;0,41892;0,54677;0,68409;0,77566;0,33853;0,50552;0,58861;0,58791;0,62081;0,63013;0;0
0,53812;0,39600;0,2898;0,21590;0,2045;0,20521;0,29302;0,26445;0,36318;0,40872;0,41892;0,68461;0,68409;0,21150;0,33853;0,58729;0,58861;0,60493;0,62081;0;0
0,59103;0,35472;0,3960;0,20888;0,2159;0,27217;0,20521;0,31006;0,26445;0,48691;0,40872;0,71973;0,68461;0,28590;0,21150;0,58917;0,58729;0,59345;0,60493;0;0
0,56143;0,21685;0,3547;0,20639;0,2089;0,30189;0,27217;0,37562;0,31006;0,43592;0,48691;0,64514;0,71973;0,39311;0,28590;0,58951;0,58917;0,57291;0,59345;0;0
0,55471;0,12588;0,2168;0,20795;0,2064;0,40112;0,30189;0,54992;0,37562;0,43456;0,43592;0,62996;0,64514;0,46459;0,39311;0,58930;0,58951;0,56027;0,57291;0;0
0,59462;0,16270;0,1259;0,19965;0,2080;0,50535;0,40112;0,69138;0,54992;0,49711;0,43456;0,66297;0,62996;0,50520;0,46459;0,59139;0,58930;0,56798;0,56027;0;0
0,60269;0,14153;0,1627;0,18980;0,1997;0,42453;0,50535;0,58250;0,69138;0,51003;0,49711;0,65993;0,66297;0,49058;0,50520;0,59395;0,59139;0,58090;0,56798;0;0
0,58879;0,13973;0,1415;0,17764;0,1898;0,45280;0,42453;0,58139;0,58250;0,48011;0,51003;0,65077;0,65993;0,52404;0,49058;0,59583;0,59395;0,58045;0,58090;0;0
